Source IP,Source Port,Destination IP,Destination Port,Protocol,TTL,Length,Packet Type,TCP Flags
127.0.0.1,43777,127.0.0.1,143,TCP,50,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,143,TCP,50,44,TCP,SYN
127.0.0.1,143,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,143,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1720,TCP,57,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,1720,TCP,57,44,TCP,SYN
127.0.0.1,1720,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,1720,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,587,TCP,50,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,587,TCP,50,44,TCP,SYN
127.0.0.1,587,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,587,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,554,TCP,45,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,554,TCP,45,44,TCP,SYN
127.0.0.1,554,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,554,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,21,TCP,46,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,21,TCP,46,44,TCP,SYN
127.0.0.1,21,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,21,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,993,TCP,48,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,993,TCP,48,44,TCP,SYN
127.0.0.1,993,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,993,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,3306,TCP,52,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,3306,TCP,52,44,TCP,SYN
127.0.0.1,3306,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,3306,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
