| Source IP       | Source Port | Destination IP  | Destination Port | Protocol  | TTL | Length | Packet Type  | TCP Flags   |
|-----------------|-------------|-----------------|------------------|-----------|-----|--------|--------------|-------------|
| 192.168.163.131 | 59074       | 157.240.227.60  | 5222             | TCP       | 64  | 79     | TCP          | PSH,ACK     |
| 157.240.227.60  | 5222        | 192.168.163.131 | 59074            | TCP       | 128 | 40     | TCP          | ACK         |
| 157.240.227.60  | 5222        | 192.168.163.131 | 59074            | TCP       | 128 | 79     | TCP          | PSH,ACK     |
| 192.168.163.131 | 59074       | 157.240.227.60  | 5222             | TCP       | 64  | 40     | TCP          | ACK         |
| 192.168.163.131 | 40787       | 192.168.163.2   | 53               | UDP       | 64  | 56     | DNS          |             |
| 192.168.163.131 | 40787       | 192.168.163.2   | 53               | UDP       | 64  | 56     | DNS          |             |
| 192.168.163.2   | 53          | 192.168.163.131 | 40787            | UDP       | 128 | 144    | DNS          |             |
| 192.168.163.2   | 53          | 192.168.163.131 | 40787            | UDP       | 128 | 156    | DNS          |             |
| 192.168.163.131 | 55822       | 172.217.17.46   | 33434            | UDP       | 1   | 60     | UDP          |             |
| 192.168.163.131 | 38747       | 172.217.17.46   | 33435            | UDP       | 1   | 60     | UDP          |             |
| 192.168.163.131 | 43555       | 172.217.17.46   | 33436            | UDP       | 1   | 60     | UDP          |             |
| 192.168.163.2   |             | 192.168.163.131 |                  | ICMP      | 128 | 88     | ICMP Type 11 |             |
| 192.168.163.131 | 60235       | 172.217.17.46   | 33437            | UDP       | 2   | 60     | UDP          |             |
| 192.168.163.2   |             | 192.168.163.131 |                  | ICMP      | 128 | 88     | ICMP Type 11 |             |
| 192.168.163.2   |             | 192.168.163.131 |                  | ICMP      | 128 | 88     | ICMP Type 11 |             |
| 192.168.163.131 | 46247       | 172.217.17.46   | 33438            | UDP       | 2   | 60     | UDP          |             |
| 192.168.163.131 | 34831       | 172.217.17.46   | 33439            | UDP       | 2   | 60     | UDP          |             |
| 192.168.163.131 | 42588       | 172.217.17.46   | 33440            | UDP       | 3   | 60     | UDP          |             |
| 192.168.163.131 | 49193       | 172.217.17.46   | 33441            | UDP       | 3   | 60     | UDP          |             |
| 192.168.163.131 | 56373       | 172.217.17.46   | 33442            | UDP       | 3   | 60     | UDP          |             |
| 192.168.163.131 | 48086       | 172.217.17.46   | 33443            | UDP       | 4   | 60     | UDP          |             |
| 192.168.163.131 | 52571       | 172.217.17.46   | 33444            | UDP       | 4   | 60     | UDP          |             |
| 192.168.163.131 | 55521       | 172.217.17.46   | 33445            | UDP       | 4   | 60     | UDP          |             |
| 192.168.163.131 | 42501       | 172.217.17.46   | 33446            | UDP       | 5   | 60     | UDP          |             |
| 192.168.163.131 | 44036       | 172.217.17.46   | 33447            | UDP       | 5   | 60     | UDP          |             |
| 192.168.163.131 | 48745       | 172.217.17.46   | 33448            | UDP       | 5   | 60     | UDP          |             |
| 192.168.163.131 | 49996       | 172.217.17.46   | 33449            | UDP       | 6   | 60     | UDP          |             |
| 192.168.163.131 | 38581       | 192.168.163.2   | 53               | UDP       | 64  | 72     | DNS          |             |
| 192.168.163.131 | 38581       | 192.168.163.2   | 53               | UDP       | 64  | 72     | DNS          |             |
| 15.95.192.168   |             | 163.2.0.0       |                  | Other(80) | 0   | 2048   | Other(80)    |             |
| 41.167.192.168  |             | 163.131.0.80    |                  | Other(12) | 0   | 2048   | Other(12)    |             |
| 192.168.163.2   | 53          | 192.168.163.131 | 38581            | UDP       | 128 | 72     | DNS          |             |
| 192.168.163.131 | 52956       | 172.217.17.46   | 33450            | UDP       | 6   | 60     | UDP          |             |
| 192.168.163.131 | 39163       | 172.217.17.46   | 33451            | UDP       | 6   | 60     | UDP          |             |
| 192.168.163.131 | 60198       | 172.217.17.46   | 33452            | UDP       | 7   | 60     | UDP          |             |
| 192.168.163.131 | 33656       | 172.217.17.46   | 33453            | UDP       | 7   | 60     | UDP          |             |
| 192.168.163.131 | 49647       | 172.217.17.46   | 33454            | UDP       | 7   | 60     | UDP          |             |
| 192.168.163.131 | 55751       | 172.217.17.46   | 33455            | UDP       | 8   | 60     | UDP          |             |
| 192.168.163.131 | 41303       | 172.217.17.46   | 33456            | UDP       | 8   | 60     | UDP          |             |
| 192.168.163.131 | 33745       | 172.217.17.46   | 33457            | UDP       | 8   | 60     | UDP          |             |
| 192.168.163.131 | 56905       | 172.217.17.46   | 33458            | UDP       | 9   | 60     | UDP          |             |
| 192.168.163.131 | 45785       | 172.217.17.46   | 33459            | UDP       | 9   | 60     | UDP          |             |
| 192.168.163.131 | 44100       | 172.217.17.46   | 33460            | UDP       | 9   | 60     | UDP          |             |
| 192.168.163.131 | 57271       | 172.217.17.46   | 33461            | UDP       | 10  | 60     | UDP          |             |
| 192.168.163.131 | 51446       | 172.217.17.46   | 33462            | UDP       | 10  | 60     | UDP          |             |
| 192.168.163.131 | 54662       | 172.217.17.46   | 33463            | UDP       | 10  | 60     | UDP          |             |
| 192.168.163.131 | 45381       | 172.217.17.46   | 33464            | UDP       | 11  | 60     | UDP          |             |
| 192.168.163.131 | 44901       | 172.217.17.46   | 33465            | UDP       | 11  | 60     | UDP          |             |
| 192.168.163.131 | 37872       | 157.240.227.60  | 443              | TCP       | 64  | 109    | HTTPS        | PSH,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 37872            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 157.240.227.60  | 443         | 192.168.163.131 | 37872            | TCP       | 128 | 111    | HTTPS        | PSH,ACK     |
